Год	Ед. Изм.	Страна	Объем
2011	млн штук	Самоа	0.000495
2011	млн штук	Бенин	0.025823
2011	млн штук	Венгрия	0.171979
2011	млн штук	Мексика	0.824211
2011	млн штук	Намибия	0.033853
2011	млн штук	Китай, Специальный административный район Макао	0.00940766666666667
2011	млн штук	Мали	0.018801
2011	млн штук	Ливия	0.1125698
2011	млн штук	Лаосская Народно-Демократическая Республика	0.003891
2011	млн штук	Ливан	0.114401
2011	млн штук	Кувейт	0.118107
2011	млн штук	Науру	4.58888888888889e-05
2011	млн штук	Непал	0.005037
2011	млн штук	Нидерландские Антильские Острова	0.0094535
2011	млн штук	Кюрасао	0.007963
2011	млн штук	Синт-Мартен (нидерландская часть)	0.000615
2011	млн штук	Бонайре, Синт-Эстатиус и Саба	0.000171333333333333
2011	млн штук	Новая Каледония	0.016347
2011	млн штук	Вануату	0.000613
2011	млн штук	Оман	0.252148
2011	млн штук	Гаити	0.0315242
2011	млн штук	Иран (Исламская Республика)	0.06408
2011	млн штук	Ирак	0.145033
2011	млн штук	Корейская Народно-Демократическая Республика	0.003734
2011	млн штук	Гибралтар	0.005489
2011	млн штук	Кирибати	0.000218
2011	млн штук	Гвинея	0.019715
2011	млн штук	Государство Палестина	0.011317
2011	млн штук	Гренландия	0.000448
2011	млн штук	Экваториальная Гвинея	
2011	млн штук	Фарерские острова	0.000958
2011	млн штук	Эритрея	
2011	млн штук	Кокосовых (Килинг) островов	2.25e-05
2011	млн штук	Острова Кука	0.000303666666666667
2011	млн штук	Куба	0.005758
2011	млн штук	Чад	
2011	млн штук	Кайман острова	0.0043005
2011	млн штук	Коморские Острова	0.00061
2011	млн штук	Остров Майотта	0.00215166666666667
2011	млн штук	Конго	0.010011
2011	млн штук	Ангола	0.053161
2011	млн штук	Афганистан	0.068061
2011	млн штук	Албания	0.036829
2011	млн штук	Алжир	0.22441
2011	млн штук	Бангладеш	4.946168
2011	млн штук	Соломоновы Острова	0.0026798
2011	млн штук	Британские Виргинские острова	0.001009
2011	млн штук	Остров Буве	1e-06
2011	млн штук	Камерун	0.039467
2011	млн штук	Бурунди	0.00532
2011	млн штук	Беларусь	0.029641
2011	млн штук	Йемен	0.034893
2011	млн штук	Сербия и Черногория	0.0310746666666667
2011	млн штук	Внешние малые острова Соединенных Штатов	0.00526
2011	млн штук	Узбекистан	0.0216668333333333
2011	млн штук	Венесуэла (Боливарианская Республика)	0.011769
2011	млн штук	Южный Судан	
2011	млн штук	Судан	0.0163018333333333
2011	млн штук	Западная Сахара	3.7e-05
2011	млн штук	Судан (до 2012)	0.573338
2011	млн штук	Вьетнам	0.036533
2011	млн штук	Сомали	0.000468666666666667
2011	млн штук	Сирийская Арабская Республика	0.0559637142857143
2011	млн штук	Суда и бункеры	6.71428571428571e-06
2011	млн штук	Токелау	0.001654
2011	млн штук	Объединенные Арабские Эмираты	0.635056
2011	млн штук	Туркменистан	0.01315
2011	млн штук	Острова Теркс и Кайкос	0.000461
2011	млн штук	Тувалу	7.33333333333333e-06
2011	млн штук	Северные Марианские острова	0.000367666666666667
2011	млн штук	Микронезия (Федеративные Штаты)	0.000658
2011	млн штук	Маршалловы Острова	0.000343
2011	млн штук	Палау	0.0015135
2011	млн штук	Папуа-Новая Гвинея	0.015785
2011	млн штук	Питкэрн	5.33333333333333e-06
2011	млн штук	Саудовская Аравия	0.985738
2011	млн штук	Сьерра-Леоне	0.0120446
2011	млн штук	Катар	0.098832
2011	млн штук	Гвинея-Бисау	0.001156
2011	млн штук	Российская Федерация	0.983932
2011	млн штук	Руанда	0.002132
2011	млн штук	Остров Святой Елены	0.000202
2011	млн штук	Сент-Китс и Невис	0.000925
2011	млн штук	Ангилья	0.000224
2011	млн штук	Сент-Люсия	0.0014465
2011	млн штук	Сен-Пьер и Микелон	0.000276
2012	млн штук	Джибути	7.87909975
2012	млн штук	Соединенные Штаты Америки	6.811924
2012	млн штук	Германия	3.0066185
2012	млн штук	Франция	1.682101
2012	млн штук	Пакистан	30000.840257
2012	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	1.895622
2012	млн штук	Бельгия	1.310855
2012	млн штук	Италия	1.227112
2012	млн штук	Канада	1.273667
2012	млн штук	Австралия	0.862202
2012	млн штук	Турция	0.456518
2012	млн штук	Китай	1.112679
2012	млн штук	Нидерланды	0.664985
2012	млн штук	Швеция	0.304261
2012	млн штук	Польша	0.319263
2012	млн штук	Греция	0.089017
2012	млн штук	Филиппины	0.298362
2012	млн штук	Нигерия	0.178433
2012	млн штук	Австрия	0.45733
2012	млн штук	Япония	0.335762
